Car Name,Year,Fuel,Mileage,Transmission,Location,Price,Link
[ LOW KM ] Honda BRV BR-V Prestige 1.5 Sensing CVT Hitam 2022/2023,2022,BENSIN,20.000-25.000 KM,AUTOMATIC,"CIPAYUNG, DEPOK KOTA",Rp 245.000.000,https://www.olx.co.id/item/low-km-honda-brv-br-v-prestige-15-sensing-cvt-hitam-20222023-iid-932398444
Honda Freed 2011 Bensin,2011,BENSIN,160000 KM,OTOMATIS,"REGOL, BANDUNG KOTA",Rp 119.000.000,https://www.olx.co.id/item/honda-freed-2011-bensin-iid-932398428
DAIHATSU GRAN MAX BLINDVAN | MULUS TINGGAL PAKAI,2018,BENSIN,160.000-165.000 KM,MANUAL,"COBLONG, BANDUNG KOTA",Rp 98.000.000,https://www.olx.co.id/item/daihatsu-gran-max-blindvan-mulus-tinggal-pakai-iid-932398375
Honda brio type S,2018,BENSIN,85.000-90.000 KM,MANUAL,"BOJONGGEDE, BOGOR KAB.",Rp 135.000.000,https://www.olx.co.id/item/honda-brio-type-s-iid-932398285
Honda CRV 2.4 AT 2008 Silver,2008,BENSIN,135.000-140.000 KM,AUTOMATIC,"BOGOR SELATAN - KOTA, BOGOR KOTA",Rp 90.000.000,https://www.olx.co.id/item/honda-crv-24-at-2008-silver-iid-932398256
DP MURAH - Honda BRV 1.5 S Bensin-MT 2017,2017,BENSIN,95.000-100.000 KM,MANUAL,"MUSTIKA JAYA, BEKASI KOTA",Rp 133.000.000,https://www.olx.co.id/item/dp-murah-honda-brv-15-s-bensin-mt-2017-iid-931947096
HONDA MOBILIO E CVT 2018,2018,BENSIN,65.000-70.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 147.500.000,https://www.olx.co.id/item/honda-mobilio-e-cvt-2018-iid-931780391
[ FULLSPEC ] BYD Seal Performance 3.8s AWD AT Arctic Blue 2024/2025,2024,LISTRIK,10.000-15.000 KM,AUTOMATIC,"BEKASI SELATAN, BEKASI KOTA",Rp 620.000.000,https://www.olx.co.id/item/fullspec-byd-seal-performance-38s-awd-at-arctic-blue-20242025-iid-932361967
Toyota Avanza 2015 Bensin,2015,BENSIN,90000 KM,OTOMATIS,"JATIASIH, BEKASI KOTA",Rp 149.000.000,https://www.olx.co.id/item/toyota-avanza-2015-bensin-iid-931736834
Mitsubishi Xpander 2019 Bensin,2019,BENSIN,90000 KM,OTOMATIS,"SUMUR BANDUNG, BANDUNG KOTA",Rp 221.000.000,https://www.olx.co.id/item/mitsubishi-xpander-2019-bensin-iid-931598000
RAIZE 1.0 GR SPORT ONE TONE BENSIN A.T,2024,BENSIN,20.000-25.000 KM,AUTOMATIC,"BOGOR UTARA - KOTA, BOGOR KOTA",Rp 235.000.000,https://www.olx.co.id/item/raize-10-gr-sport-one-tone-bensin-at-iid-932398236
Toyota Raize GR 1.0 Turbo Two Tone,2021,BENSIN,55.000-60.000 KM,AUTOMATIC,"BOJONGSOANG, BANDUNG KAB.",Rp 210.000.000,https://www.olx.co.id/item/toyota-raize-gr-10-turbo-two-tone-iid-932359639
Honda HRV E 2018,2018,BENSIN,45.000-50.000 KM,AUTOMATIC,"BOGOR SELATAN - KOTA, BOGOR KOTA",Rp 200.000.000,https://www.olx.co.id/item/honda-hrv-e-2018-iid-900013047
Hyundai Palisade Matic Tahun 2021 Kondisi Mulus Terawat Istimewa,2021,DIESEL,75.000-80.000 KM,AUTOMATIC,"BEKASI BARAT, BEKASI KOTA",Rp 545.000.000,https://www.olx.co.id/item/hyundai-palisade-matic-tahun-2021-kondisi-mulus-terawat-istimewa-iid-932398163
